Category	Bytes	MiB	AssetPath
KEEP_PROTECTED	27129	0.026	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Erosion/TerrainToolGUIHelper.cs
KEEP_PROTECTED	26365	0.025	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/PWSkyStandaloneEditor.cs
KEEP_PROTECTED	24211	0.023	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Scene Management/GaiaScenePlayer.cs
KEEP_PROTECTED	24127	0.023	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Value Adds/UIConfiguration.cs
KEEP_PROTECTED	23683	0.023	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Mesh Simplifier/Runtime/MeshCombiner.cs
KEEP_PROTECTED	23309	0.022	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Scene Management/GaiaSceneLighting.cs
KEEP_PROTECTED	23159	0.022	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/GaiaHDRPRuntimeUtils.cs
KEEP_PROTECTED	22861	0.022	Assets/Naganeupseong/Shaders/PBR_Roof.hlsl
KEEP_PROTECTED	22770	0.022	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Lighting System/AutoDepthOfField.cs
KEEP_PROTECTED	22513	0.021	Assets/Naganeupseong/Shaders/PBR_Shaders.hlsl
KEEP_PROTECTED	22016	0.021	Assets/Procedural Worlds/Frameworks/Common5/PWCommon5DLL.dll
KEEP_PROTECTED	21426	0.020	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Multi-Terrain System/Gaia2TopPanel.cs
KEEP_PROTECTED	21196	0.020	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ScanningSystem/Scanner.cs
KEEP_PROTECTED	20410	0.019	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/ScannerEditor.cs
KEEP_PROTECTED	20135	0.019	Assets/Naganeupseong/Shaders/PBR_Alpha.hlsl
KEEP_PROTECTED	19729	0.019	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/GaiaSettings.cs
KEEP_PROTECTED	19641	0.019	Assets/Procedural Worlds/Frameworks/Setup1/Scripts/PWPackageInfo.cs
KEEP_PROTECTED	19627	0.019	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Photo Mode/PhotoModeUIHelper.cs
KEEP_PROTECTED	19559	0.019	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/NoiseSettingsGUI.cs
KEEP_PROTECTED	19496	0.019	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Value Adds/Location System/LocationManagerEditor.cs
KEEP_PROTECTED	19075	0.018	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Lighting System/HDRPDensityVolumeController.cs
KEEP_PROTECTED	18773	0.018	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/GaiaGlobalEditor.cs
KEEP_PROTECTED	18543	0.018	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Mesh Simplifier/Runtime/Utility/MeshUtils.cs
KEEP_PROTECTED	18234	0.017	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/PW General/PW_SkyboxProcedural.shader
KEEP_PROTECTED	17923	0.017	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Mesh Simplifier/Runtime/Math/Vector3d.cs
KEEP_PROTECTED	17508	0.017	Assets/Naganeupseong/Shaders/LargeWorldCoordinates.hlsl
KEEP_PROTECTED	17326	0.017	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/MaskSystem/PolyMaskVisualization.cs
KEEP_PROTECTED	17161	0.016	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/ResourceVisualiser.cs
KEEP_PROTECTED	17107	0.016	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Water System/Reflections/GaiaPlanarReflections.cs
KEEP_PROTECTED	17070	0.016	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Value Adds/ScreenShotter.cs
KEEP_PROTECTED	17048	0.016	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Gaia Wizard/GWS_HDRPDiffusionProfiles.cs
KEEP_PROTECTED	17029	0.016	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Scene Management/SceneProfile.cs
KEEP_PROTECTED	16514	0.016	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/ResourceVisualiserEditor.cs
KEEP_PROTECTED	16467	0.016	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Photo Mode/PhotoModeEditor.cs
KEEP_PROTECTED	15990	0.015	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Mask System/CollisionMaskListEditor.cs
KEEP_PROTECTED	15679	0.015	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaStampSelectorEditorWindow.cs
KEEP_PROTECTED	15491	0.015	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/PW General/PW_Water.shader
KEEP_PROTECTED	15479	0.015	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Standard Shaders/StampPreview.shader
KEEP_PROTECTED	15350	0.015	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Stamping System/WorldMap.cs
KEEP_PROTECTED	15330	0.015	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/Vector3Double.cs
KEEP_PROTECTED	15011	0.014	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/EditorUtils.cs
KEEP_PROTECTED	14615	0.014	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaMassEditTerrains.cs
KEEP_PROTECTED	14540	0.014	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Standard Shaders/SpawnerPreview.shader
KEEP_PROTECTED	14368	0.014	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Stamping System/StamperSettingsEditor.cs
KEEP_PROTECTED	14155	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/PW General/PW_General_Forward.shader
KEEP_PROTECTED	14142	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Water System/PW_Water_MaterialEditor.cs
KEEP_PROTECTED	14132	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/PW General/PW_Water_FuncsShared.cginc
KEEP_PROTECTED	13967	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/API/NoiseUtils.cs
KEEP_PROTECTED	13792	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/DynamicDepthOfField.cs
KEEP_PROTECTED	13751	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Photo Mode/PhotoModeButtonManager.cs
KEEP_PROTECTED	13715	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/MathD.cs
KEEP_PROTECTED	13705	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/ResourceProtoGameObject.cs
KEEP_PROTECTED	13666	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/FractalGenerator.cs
KEEP_PROTECTED	13611	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Spawning System/SpawnerSettingsListEditor.cs
KEEP_PROTECTED	13477	0.013	Assets/Procedural Worlds/Frameworks/Setup1/Scripts/SetupUtils.cs
KEEP_PROTECTED	13460	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/SimplexNoiseGenerator.cs
KEEP_PROTECTED	13228	0.013	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/FbmFractalType.cs
KEEP_PROTECTED	13033	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/QuadTree.cs
KEEP_PROTECTED	12956	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Gaia Wizard/GWSetting.cs
KEEP_PROTECTED	12850	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Spawning System/SpawnCriteria.cs
KEEP_PROTECTED	12738	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaResourceHelper.cs
KEEP_PROTECTED	12709	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Standard Shaders/BaseOperation.shader
KEEP_PROTECTED	12678	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/UnityPipelineProfileEditor.cs
KEEP_PROTECTED	12602	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Lighting System/GaiaShaderID.cs
KEEP_PROTECTED	12443	0.012	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/API/DemoAPIControllerEditor.cs
KEEP_PROTECTED	12165	0.012	Assets/Procedural Worlds/Packages - Install/Sky & Lighting Presets/Scripts/LightingPresetBuiltIn.cs
KEEP_PROTECTED	12051	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/PackageInstallerUtils.cs
